iter	MultiClass
0	0.6603000737
1	0.625201011
2	0.5961990536
3	0.5725272139
4	0.5518655283
5	0.5341207587
6	0.5196832976
7	0.5064808446
8	0.4953497218
9	0.4861006641
10	0.4779315085
11	0.4710817712
12	0.4645891202
13	0.4592761623
14	0.4541531743
15	0.4491151989
16	0.4453380548
17	0.4413527828
18	0.4394500391
19	0.4353732889
20	0.432765164
21	0.4305653758
22	0.427568319
23	0.4249816931
24	0.4226555198
25	0.4207501751
26	0.4189673846
27	0.4176952119
28	0.4159311656
29	0.4146737529
30	0.4135575824
31	0.412516052
32	0.4118066657
33	0.4105188444
34	0.4088102228
35	0.4075513808
36	0.4068263389
37	0.406189729
38	0.4051860005
39	0.4043357526
40	0.4039069975
41	0.4032604581
42	0.4024897614
43	0.4017352278
44	0.401213351
45	0.4007205878
46	0.4005791705
47	0.4001120071
48	0.3992440308
49	0.3987549195
50	0.398545054
51	0.3980059497
52	0.3977533844
53	0.3972722024
54	0.3967880288
55	0.3963706696
56	0.3958989874
57	0.3956127915
58	0.3953867488
59	0.3951976456
60	0.3949626127
61	0.3948663045
62	0.3948044304
63	0.3946235524
64	0.3943458869
65	0.3941628213
66	0.3938524977
67	0.3935792973
68	0.3932456144
69	0.3930603683
70	0.3929128173
71	0.3926545848
72	0.3924350137
73	0.392127167
74	0.3918123564
75	0.3917453306
76	0.3916293926
77	0.3915134631
78	0.3912381383
79	0.3910479353
80	0.3907500097
81	0.3906687195
82	0.3905715056
83	0.3904312148
84	0.3901491362
85	0.3900832021
86	0.3900091818
87	0.3898627895
88	0.3897411987
89	0.3895266894
90	0.3893694355
91	0.3893003138
92	0.3891856018
93	0.3889836926
94	0.3889048244
95	0.3886129034
96	0.3885017333
97	0.3882678036
98	0.3882245944
99	0.38806797
