,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.82012984 0.81857893 0.82877024 0.79578379],0.8158156988123255,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19')",0.019556123831447936,0.012199845050695953,0.0070435838240910315
19,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.82541513 0.82023765 0.83348271 0.79308072],0.8180540525617652,"('0', '1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19')",0.024319193549330955,0.015171226957696923,0.008759111967963225
18,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)",[0.82535928 0.8212586  0.83271505 0.79802659],0.819339879823221,"('0', '1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18')",0.020793486790917772,0.012971758570323367,0.007489248302439031
17,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18)",[0.82901054 0.82137031 0.8349375  0.79848945],0.8209519482241465,"('0', '1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18')",0.02217212138248705,0.013831802643660032,0.007985794979694896
16,"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17)",[0.83345413 0.81955962 0.83605456 0.79694744],0.8215039392241192,"('0', '1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17')",0.024850471998937453,0.015502658422328498,0.008950464013286178
15,"(0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17)",[0.83056274 0.81842956 0.83199805 0.79676542],0.8194389414743327,"('0', '1', '2', '3', '5', '6', '7', '9', '10', '11', '12', '13', '15', '16', '17')",0.022621036203695193,0.014111852581311441,0.008147481886584476
14,"(0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13, 15, 17)",[0.82951971 0.81668771 0.83207079 0.80204674],0.8200812365130565,"('0', '1', '2', '3', '5', '6', '7', '9', '10', '11', '12', '13', '15', '17')",0.01912849876677992,0.01193307646333641,0.006889564908367664
13,"(0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 13, 15, 17)",[0.8247306  0.81843345 0.83278519 0.79791218],0.8184653560861501,"('0', '1', '2', '3', '5', '6', '7', '9', '10', '11', '13', '15', '17')",0.02069561935785863,0.012910705187295037,0.007453999115312687
12,"(0, 1, 2, 3, 5, 7, 9, 10, 11, 13, 15, 17)",[0.8260594  0.82103389 0.83191881 0.79764694],0.8191647587575847,"('0', '1', '2', '3', '5', '7', '9', '10', '11', '13', '15', '17')",0.02084973023827196,0.013006845346657574,0.007509505662200582
11,"(0, 1, 2, 3, 5, 7, 9, 10, 11, 13, 15)",[0.82608408 0.8104555  0.83650529 0.80070626],0.8184377814971577,"('0', '1', '2', '3', '5', '7', '9', '10', '11', '13', '15')",0.022139493476113093,0.013811448129364577,0.007974043295387192
10,"(0, 1, 2, 3, 5, 7, 9, 10, 13, 15)",[0.81785933 0.8126169  0.83962139 0.79785887],0.816989123749081,"('0', '1', '2', '3', '5', '7', '9', '10', '13', '15')",0.02401878841909435,0.014983822946917072,0.008650914211892263
