,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)",[0.66204122 0.65835879 0.67517068 0.64944885],0.6612548868012413,"('5',)",0.014822969382843252,0.009247125413017422,0.0053388303464358385
2,"(3, 5)",[0.74263384 0.72446848 0.74646435 0.72204034],0.7339017531794421,"('3', '5')",0.017259944339804687,0.010767401983344022,0.006216562433556582
3,"(2, 3, 5)",[0.78135846 0.77761888 0.79240575 0.7774994 ],0.7822206206190709,"('2', '3', '5')",0.009748782581508554,0.006081656976219003,0.0035112462923390067
4,"(2, 3, 5, 9)",[0.7940216  0.79385924 0.8037453  0.78793072],0.7948892141532157,"('2', '3', '5', '9')",0.009091339060234918,0.005671518998046443,0.00327445302023619
5,"(2, 3, 5, 9, 16)",[0.80033434 0.79422943 0.80703286 0.79548995],0.7992716436951581,"('2', '3', '5', '9', '16')",0.008058506146119828,0.005027199007844685,0.002902454700448949
6,"(2, 3, 5, 7, 9, 16)",[0.80373361 0.79732475 0.80996841 0.80123933],0.8030665242206764,"('2', '3', '5', '7', '9', '16')",0.00736271352956176,0.004593137422707023,0.002651849127424843
7,"(2, 3, 5, 7, 9, 15, 16)",[0.80827332 0.79915103 0.81226879 0.79774315],0.8043590741031797,"('2', '3', '5', '7', '9', '15', '16')",0.009776187446014675,0.0060987531606925514,0.0035211167790469254
8,"(2, 3, 5, 7, 9, 11, 15, 16)",[0.80440385 0.80094223 0.80903319 0.79381012],0.8020473475938973,"('2', '3', '5', '7', '9', '11', '15', '16')",0.00890442549441824,0.005554915290660953,0.0032071318383886695
9,"(2, 3, 5, 6, 7, 9, 11, 15, 16)",[0.80010963 0.79640252 0.80475975 0.78497671],0.7965621533931991,"('2', '3', '5', '6', '7', '9', '11', '15', '16')",0.011725704354831458,0.007314935079781756,0.004223279737416634
10,"(2, 3, 4, 5, 6, 7, 9, 11, 15, 16)",[0.78768938 0.79122244 0.80331146 0.7804742 ],0.7906743698152541,"('2', '3', '4', '5', '6', '7', '9', '11', '15', '16')",0.013241586821914413,0.008260599536239102,0.004769259365915344
